date:2022-08-02 17:18:06	thread:main	level:INFO 	logger:com.ctf.admin.CtfAdminApplication               	msg:The following profiles are active: native
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148717
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148761
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148802
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148849
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 148921
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@4ff31100] for JDBC transaction
date:2022-08-02 17:20:50	thread:http-nio-10012-exec-1	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@4ff31100] to manual commit
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:c.c.admin.mapper.SysUrlMapper.querySysUrl_COUNT 	msg:==>  Preparing: SELECT count(0) FROM mscode_sys_url WHERE 1 = 1 AND tenant_code = ?
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:c.c.admin.mapper.SysUrlMapper.querySysUrl_COUNT 	msg:==> Parameters: 10001(String)
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:c.c.admin.mapper.SysUrlMapper.querySysUrl_COUNT 	msg:<==      Total: 1
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.querySysUrl   	msg:==>  Preparing: SELECT CAST(id AS CHAR) AS "id",url AS "url",description AS "description",create_time AS "createTime" FROM mscode_sys_url WHERE 1 = 1 AND tenant_code = ? ORDER BY createTime DESC LIMIT ?
